title,plot
Indiana Jones and the Last Crusade,"Indiana Jones and the Last Crusade is an action/adventure film where Indy searches for the Holy Grail alongside his estranged father. Nazis threaten to exploit the Grail’s powers, fueling a high-stakes quest."
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire is a fantasy/adventure film in which Harry competes in the dangerous Triwizard Tournament. He faces deadly challenges while a dark power resurfaces.
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix is a fantasy/drama film showing Harry’s struggles as the Ministry denies Voldemort’s return. A covert group trains students in defense magic to confront the rising threat.
Serenity,"Serenity is a sci-fi/adventure film about the crew of the spaceship Serenity, harboring a telepathic fugitive. They uncover sinister secrets behind the galaxy’s ruling Alliance and deadly Reavers."
Tangled,"Tangled is an animation/fantasy film about Rapunzel, a princess with magical long hair, confined to a tower. With the help of a charming thief, she escapes to explore the world and discover her identity."
Sleeping Beauty,"Sleeping Beauty is an animation/fantasy film following Princess Aurora, cursed to fall into an eternal slumber. Three good fairies and a brave prince fight to break the spell."
Blade Runner 2049,"Blade Runner 2049 is a sci-fi film set decades after the original, focusing on a young blade runner named K. He unearths a buried secret that leads him to the missing Rick Deckard."
John Wick: Chapter 2,"John Wick: Chapter 2 is an action film where the legendary assassin is forced back out of retirement to repay a debt. His mission sparks a global contract on his life, fueling relentless combat."
Mission: Impossible – Ghost Protocol,"Mission: Impossible – Ghost Protocol is an action/spy film in which Ethan Hunt and his team are disavowed after a bombing of the Kremlin. Operating off-grid, they must stop a nuclear plot to clear their names."
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest is a fantasy/adventure film where Captain Jack Sparrow owes a blood debt to Davy Jones. Allies and enemies cross paths seeking the heart that controls Jones’ fate.
Toy Story 2,"Toy Story 2 is an animation/comedy film where Woody is stolen by a toy collector, forcing Buzz and friends to mount a rescue. Woody wrestles with his past and the desire to be immortalized in a museum."
Shrek 2,"Shrek 2 is an animation/comedy film in which Shrek and Fiona visit her royal parents, who struggle with their daughter’s ogre transformation. A scheming Fairy Godmother and a swashbuckling Puss in Boots add to the chaos."
Despicable Me,"Despicable Me is an animation/comedy film about Gru, a supervillain planning to steal the moon. His life changes when he adopts three orphan girls who melt his icy heart."
The Expendables,The Expendables is an action film about a team of elite mercenaries assigned to topple a South American dictator. Loyalties and moral lines blur when they discover the true nature of their mission.
Now You See Me,Now You See Me is a crime/thriller film about four illusionists who rob banks during their live magic shows. An FBI agent and Interpol detective race to uncover how they're pulling off these elaborate heists.
Guardians of the Galaxy,Guardians of the Galaxy is a superhero/sci-fi film where a ragtag group of outlaws bands together to save the galaxy. Their bond forms unexpectedly as they chase a powerful orb sought by a villainous warlord.
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2 is a superhero/sci-fi film following the quirky team as they uncover Peter Quill’s celestial heritage. Family ties and old feuds converge in a cosmic battle for survival.
Doctor Strange,"Doctor Strange is a superhero/fantasy film about a brilliant surgeon who loses his hands’ function in an accident. Seeking healing, he is drawn into the mystical arts and a war against dark magic."
Captain Marvel,"Captain Marvel is a superhero/action film where an amnesiac Kree warrior crash-lands on Earth in the 1990s. As she unravels her past, she embraces her formidable powers to end a cosmic conflict."
Ant-Man,"Ant-Man is a superhero/heist film where cat burglar Scott Lang inherits a suit that can shrink him to insect size. Guided by Dr. Hank Pym, he attempts a daring break-in to protect the technology."
Ant-Man and the Wasp,"Ant-Man and the Wasp is a superhero/action film picking up with Scott Lang balancing fatherhood and hero duties. Teamed with Hope van Dyne, he faces quantum-level threats to rescue her long-lost mother."
Iron Man,"Iron Man is a superhero/action film about billionaire Tony Stark, who builds a high-tech suit of armor to escape captivity. Returning home, he refines his invention to protect the world from new threats."
Iron Man 2,"Iron Man 2 is a superhero/action film in which Tony Stark’s public reveal of his alter ego brings government pressure and a vengeful rival. Battling health issues, he confronts lethal technology and personal demons."
Iron Man 3,"Iron Man 3 is a superhero/action film where Tony Stark faces terrorism and wrestles with post-traumatic stress after alien invasions. Using his ingenuity, he combats a mysterious extremist known as the Mandarin."
Captain America: Civil War,"Captain America: Civil War is a superhero/action film that splits the Avengers over government oversight of their activities. Former allies become adversaries, culminating in a high-stakes clash shaped by hidden truths."
The Matrix Reloaded,"The Matrix Reloaded is a sci-fi/action film in which Neo fights new agents while learning more about his role as the prophesied One. Human rebels race to protect Zion, humanity’s last city, from machine onslaught."
The Matrix Revolutions,"The Matrix Revolutions is a sci-fi/action film completing Neo’s battle against the machines. As Zion faces imminent destruction, Neo ventures to the Machine City to negotiate humanity’s survival."
Maze Runner: The Scorch Trials,"Maze Runner: The Scorch Trials is a sci-fi/action film continuing Thomas and his friends’ escape from the Maze. They traverse a desolate wasteland called the Scorch, facing new dangers and a nefarious organization."
Maze Runner: The Death Cure,Maze Runner: The Death Cure is a sci-fi/action film that follows Thomas leading his group on a final mission to save their captured friends. Secrets behind the Flare virus and the Maze’s true purpose are revealed.
Divergent,"Divergent is a sci-fi/action film set in a dystopian Chicago, where society is divided into factions based on virtues. Tris discovers she is “Divergent,” jeopardizing her safety in a rigid system."
Insurgent,Insurgent is a sci-fi/action film in which Tris and Four become fugitives hunted by the faction leader who fears their Divergent abilities. A hidden artifact may hold answers that could reshape their fractured world.
Allegiant,Allegiant is a sci-fi/action film picking up with Tris and Four venturing beyond the walled city. They discover shocking truths about their society’s creation and a larger struggle for power.
Kingsman: The Secret Service,Kingsman: The Secret Service is an action/spy film about a streetwise teen recruited into a covert British agency. He trains for high-tech missions while a global threat emerges from a twisted tech mogul.
Kingsman: The Golden Circle,"Kingsman: The Golden Circle is an action/spy film where surviving agents team up with their American counterparts, the Statesman. They face a ruthless criminal mastermind holding the world hostage with a lethal drug."
District 9,"District 9 is a sci-fi/action film set in Johannesburg, where extraterrestrials are segregated in a slum-like camp. A bureaucrat’s unexpected infection forces him to rely on alien help to survive corporate oppression."
Kick-Ass,"Kick-Ass is a superhero/action comedy film about an ordinary teenager who becomes a costumed vigilante. His antics attract real heroes and dangerous criminals, blurring lines between bravery and recklessness."
Shaun of the Dead,Shaun of the Dead is a comedy/horror film featuring a lazy electronics salesman facing a zombie apocalypse. Shaun must rescue his loved ones while stumbling through undead-infested London with dark humor.
Hot Fuzz,"Hot Fuzz is a comedy/action film about a top London cop reassigned to a sleepy village. Strange accidents pile up, leading him to uncover a sinister conspiracy hidden behind idyllic country life."
The World's End,The World's End is a comedy/sci-fi film about five friends reuniting for a legendary pub crawl. Their night evolves into a battle against robot-like beings threatening to replace humanity.
Baby Driver,"Baby Driver is an action/crime film where a young getaway driver relies on music to excel behind the wheel. When a final heist goes awry, he fights to escape his dangerous criminal associates."
Scott Pilgrim vs. the World,Scott Pilgrim vs. the World is a comedy/fantasy film featuring a slacker musician who must defeat his new girlfriend’s seven evil exes. Stylized battles and video game visuals shape this quirky love story.
Jurassic World,"Jurassic World is a sci-fi/adventure film set in a revamped dinosaur theme park. When a genetically modified dinosaur escapes, chaos erupts, and a raptor handler races to protect visitors."
Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom is a sci-fi/adventure film where a rescue mission aims to save dinosaurs from an erupting volcano. Hidden agendas lead to perilous confrontations on an isolated estate.
Dead Poets Society,"Dead Poets Society is a drama film about an unconventional English teacher inspiring his students through poetry. His methods clash with the strict academy, igniting passion and rebellion in young minds."
Mean Girls,"Mean Girls is a teen comedy film following Cady Heron, who navigates the cutthroat social hierarchy of high school. Manipulations and gossip create a hilarious yet cautionary tale of popularity’s price."
The Breakfast Club,The Breakfast Club is a teen drama/comedy film about five high school students from different cliques serving Saturday detention. Their shared struggles and confessions forge unexpected friendships.
Little Miss Sunshine,Little Miss Sunshine is a comedy/drama film about a dysfunctional family traveling in a VW bus so their young daughter can enter a beauty pageant. Road trip mishaps test their unity and dreams.
Napoleon Dynamite,Napoleon Dynamite is a comedy film featuring an awkward high schooler with a passion for dancing and bizarre skills. His quest to help a friend become class president showcases absurd small-town charm.
The Lego Movie,"The Lego Movie is an animation/adventure film following Emmet, an ordinary construction figure mistaken for the ‘Special.’ He joins a motley crew of Master Builders to stop a tyrannical CEO from freezing their world."
Troy,"Troy is a historical/action film inspired by Homer’s Iliad, depicting the Trojan War sparked by Helen’s abduction. Legendary warriors like Achilles and Hector clash in epic battles shaping fate and glory."
The Patriot,"The Patriot is a historical/war film set during the American Revolution, where a peaceful farmer is pulled into the conflict. Driven by vengeance, he forms a militia to fight against British oppression."
Pearl Harbor,Pearl Harbor is a historical/romance film centered on two best friends who become fighter pilots during World War II. Their love triangle unfolds against the backdrop of the Japanese attack on Pearl Harbor.
The Thin Red Line,"The Thin Red Line is a war/drama film exploring the psychological toll of the Battle of Guadalcanal in World War II. Soldiers wrestle with nature, spirituality, and the chaos of combat."
American Gangster,"American Gangster is a crime/drama film following Frank Lucas, who builds a heroin empire in 1970s Harlem. A determined detective vows to bring him down, revealing systemic corruption."
Gran Torino,Gran Torino is a drama film featuring a cantankerous war veteran living in a changing Detroit neighborhood. His reluctant friendship with a Hmong teen leads to personal redemption and neighborhood tensions.
The Fighter,"The Fighter is a sports/drama film about boxer Micky Ward, managed by his half-brother Dicky, a former fighter battling addiction. Family struggles threaten Micky’s chance at the title."
Creed,"Creed is a sports/drama film where Adonis Johnson, son of Apollo Creed, pursues boxing under the mentorship of Rocky Balboa. Together, they fight personal demons and aim for a shot at the championship."
Moneyball,"Moneyball is a sports/drama film about Oakland A’s general manager Billy Beane, who builds a winning baseball team using analytics. Challenging traditional scouting methods, he reshapes the sport’s economics."
Coach Carter,Coach Carter is a sports/drama film based on the true story of a high school basketball coach who prioritizes academics over athletics. His controversial methods lead to conflict but ultimately inspire success.
Remember the Titans,Remember the Titans is a sports/drama film depicting a newly integrated high school football team in 1970s Virginia. Their path to unity on and off the field helps bridge racial divides.
Invictus,Invictus is a sports/historical drama film about Nelson Mandela uniting post-apartheid South Africa by backing the national rugby team. The underdog squad’s journey symbolizes hope and reconciliation.
Ali,"Ali is a biographical sports/drama film chronicling the life and career of boxer Muhammad Ali. His bold persona, religious conversion, and political stances redefine athletic greatness and social activism."
The Boy in the Striped Pajamas,"The Boy in the Striped Pajamas is a war/drama film set during World War II, focusing on the friendship between a Nazi commandant’s son and a Jewish boy in a concentration camp. Innocence clashes tragically with reality."
Prisoners,Prisoners is a crime/thriller film in which a father kidnaps a suspect he believes abducted his daughter. A detective races against time to find the missing child and stop vigilante justice.
The Town,"The Town is a crime/drama film centered on a crew of bank robbers in Boston. When one thief falls for a former hostage, tensions flare within the gang and with the FBI closing in."
The Hurt Locker,The Hurt Locker is a war/drama film about an elite bomb disposal team in the Iraq War. Their daily confrontations with explosive devices test their courage and psychological endurance.
Moonlight,"Moonlight is a coming-of-age drama film following Chiron through three defining stages in his life. Struggling with identity and sexuality, he navigates love and hardship in a rough Miami neighborhood."
Ex Machina,Ex Machina is a sci-fi/psychological film centered on a young programmer invited to test an advanced humanoid AI. Tensions escalate as human emotions blur the lines between man and machine.
The Martian,The Martian is a sci-fi/adventure film where astronaut Mark Watney is presumed dead and left behind on Mars. Resourcefulness and scientific ingenuity become his lifelines in an unforgiving environment.
Bird Box,Bird Box is a horror/thriller film in which a mysterious force drives anyone who sees it to suicide. A mother and her children must journey blindfolded to find a safe haven.
The Theory of Everything,The Theory of Everything is a biographical drama film about renowned physicist Stephen Hawking. His relationship with wife Jane and his battle with ALS unfold alongside groundbreaking scientific work.
The Imitation Game,The Imitation Game is a historical drama film about Alan Turing’s secret codebreaking efforts during World War II. His genius helps crack Nazi messages while he grapples with personal and legal challenges.
War Horse,War Horse is a war/drama film depicting the profound bond between a young man and his horse during World War I. Their separate journeys reveal the impact of conflict on humans and animals alike.
Lincoln,Lincoln is a historical drama film focused on President Abraham Lincoln’s efforts to pass the Thirteenth Amendment. Political maneuvering and moral conviction drive a pivotal moment in American history.
The Perks of Being a Wallflower,The Perks of Being a Wallflower is a teen drama film following shy freshman Charlie as he befriends two outgoing seniors. Their shared experiences of love and trauma shape an unforgettable year.
The Fault in Our Stars,"The Fault in Our Stars is a teen romance/drama film about two cancer-stricken teenagers who meet in a support group. Their relationship confronts mortality, love, and the fragility of life."
Dallas Buyers Club,"Dallas Buyers Club is a biographical drama film about Ron Woodroof, an AIDS patient smuggling unapproved medications. His unconventional methods improve lives and challenge the medical establishment."
American Sniper,"American Sniper is a war/drama film depicting the life of Chris Kyle, the deadliest marksman in U.S. military history. His tours in Iraq and struggles at home reveal the toll of combat."
Zero Dark Thirty,Zero Dark Thirty is a war/thriller film chronicling the decade-long hunt for Osama bin Laden. A determined CIA analyst’s relentless pursuit culminates in a high-stakes Navy SEAL operation.
Dunkirk,"Dunkirk is a war/action film recreating the evacuation of Allied soldiers trapped by German forces in World War II. Sea, air, and land perspectives intertwine in a tense race against time."
Bohemian Rhapsody,Bohemian Rhapsody is a biographical/music film exploring Queen’s rise and the life of frontman Freddie Mercury. Their revolutionary sound and Mercury’s personal struggles define this iconic rock saga.
Rocketman,"Rocketman is a musical/biographical film about Elton John’s extraordinary path from piano prodigy to global superstar. Addiction, identity, and flamboyant performances paint a vivid portrait of his life."
The Mule,The Mule is a crime/drama film where an elderly horticulturist becomes a drug courier for a Mexican cartel. Financial desperation and moral reckoning collide as he struggles to outrun the authorities.
The Post,The Post is a historical drama film about The Washington Post’s race to publish the Pentagon Papers. Publisher Katharine Graham and editor Ben Bradlee risk everything to expose government secrets.
Argo,"Argo is a thriller/drama film based on a CIA mission to rescue six Americans trapped in Iran by staging a fake movie production. Under extreme pressure, the ruse tests creativity and courage."
Phantom Thread,"Phantom Thread is a drama/romance film set in 1950s London, following a meticulous fashion designer and his strong-willed muse. Their intimate relationship becomes a battleground of obsession and control."
The Last Emperor,"The Last Emperor is a historical/biographical film about Pu Yi, China’s final imperial ruler. His life shifts from palace opulence to revolutionary turmoil, reflecting political upheavals of the 20th century."
The English Patient,"The English Patient is a war/romance film set near the end of World War II, revolving around a burn victim’s mysterious past. A nurse tends to him in an abandoned monastery, unraveling love and betrayal."
Shakespeare in Love,Shakespeare in Love is a romantic comedy/drama film imagining William Shakespeare’s secret muse while writing 'Romeo and Juliet.' Their passionate affair clashes with social constraints and hidden identities.
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest is a drama film about a free-spirited criminal who fakes insanity to serve time in a mental institution. His clashes with a rigid nurse spark rebellion among patients.
Juno,"Juno is a teen comedy/drama film about a witty high school girl who becomes unexpectedly pregnant. She navigates the challenges of adoption, family, and friendship with honesty and humor."
Big Fish,"Big Fish is a fantasy/drama film where a son seeks the truth behind his dying father’s tall tales. Reality and myth blur, revealing a heartfelt story of love, adventure, and reconciliation."
The Jungle Book,"The Jungle Book is an adventure/family film about Mowgli, a human boy raised by wolves in the Indian jungle. Facing a fearsome tiger, he must decide where he truly belongs."
The Mummy,The Mummy is an action/adventure film in which an ancient Egyptian priest is accidentally resurrected. A motley group of explorers battles his curses while racing to save the world from undead terror.
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe is a fantasy/adventure film about four siblings discovering a magical land accessed through a wardrobe. They unite with a mighty lion to overcome an evil witch."
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian is a fantasy/adventure film following the Pevensie children’s return to Narnia. They aid young Prince Caspian in reclaiming his throne from a tyrannical uncle.
Tron,"Tron is a sci-fi/action film where a computer programmer is digitized into a virtual world. Battling inside a neon labyrinth, he aims to overthrow a malevolent AI and escape back to reality."
Tron: Legacy,"Tron: Legacy is a sci-fi/action film in which the son of a missing tech visionary is pulled into a digital grid. Guided by his father’s old ally, he challenges a corrupted program ruling this cyberspace."
Lucy,"Lucy is a sci-fi/action film about a woman accidentally exposed to an experimental drug that enhances her brain capacity. Her new abilities escalate rapidly, reshaping reality and her sense of self."
The Fifth Element,"The Fifth Element is a sci-fi/action film set in the 23rd century, where a cab driver teams up with a mysterious woman to save Earth from a cosmic threat. Elements of comedy and futurism collide in a wild ride."
Alita: Battle Angel,"Alita: Battle Angel is a sci-fi/action film about a cyborg girl awakened with no memory in a dystopian city. Guided by a compassionate doctor, she discovers her lethal fighting instincts and identity."
Crazy Rich Asians,Crazy Rich Asians is a romantic comedy/drama film where a Chinese American woman discovers her boyfriend’s family is extraordinarily wealthy. Navigating tradition and high-society drama tests their love.
Hidden Figures,Hidden Figures is a historical drama film highlighting three African American women mathematicians at NASA. Their brilliance pushes boundaries during the space race and challenges segregation.
Searching,"Searching is a thriller/mystery film told through computer and phone screens, as a father tries to find his missing teenage daughter. Virtual clues unravel startling secrets about her life."
Jojo Rabbit,Jojo Rabbit is a satire/comedy film about a Hitler Youth boy whose imaginary friend is Adolf Hitler. His worldview changes when he discovers a Jewish girl hiding in his home.
Fantastic Beasts and Where to Find Them,"Fantastic Beasts and Where to Find Them is a fantasy/adventure film set in J.K. Rowling’s Wizarding World, following magizoologist Newt Scamander in 1920s New York. Escaped magical creatures and rising dark forces complicate his visit."
Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald is a fantasy/adventure film in which dark wizard Grindelwald seeks pure-blood wizard dominance. Newt Scamander and allies race to prevent his world-threatening agenda.
Cloud Atlas,"Cloud Atlas is a sci-fi/drama film interweaving multiple storylines across centuries. Reincarnation and consequences echo through diverse characters, connecting past, present, and future destinies."
Life Is Beautiful,Life Is Beautiful is a comedy/drama film where a Jewish father uses imagination to shield his son from the horrors of a concentration camp. Humor and love become their strongest defense against despair.
Howl's Moving Castle,"Howl's Moving Castle is a fantasy/animation film about a young woman cursed to become an old lady. She seeks refuge in a wizard’s walking castle, uncovering themes of love, war, and self-discovery."
Coraline,Coraline is a stop-motion fantasy/horror film about a curious girl who finds a secret door to a seemingly perfect other world. The dark truth emerges when her other mother wants to keep her forever.
Isle of Dogs,"Isle of Dogs is an animation/adventure film set in a dystopian Japan, where dogs are exiled to Trash Island. A young boy arrives to rescue his canine companion, revealing political and personal secrets."
The Wind Rises,"The Wind Rises is a historical/animation film inspired by the life of Jiro Horikoshi, an aircraft designer in pre-WWII Japan. His dreams of flight contend with war’s looming shadow and personal love."
Hugo,Hugo is a family/adventure film about an orphan boy living in a Paris train station who repairs a mysterious automaton. The discovery of a cinematic pioneer ties into his quest for purpose.
Whale Rider,Whale Rider is a drama/family film about a Maori girl named Paikea who seeks to become the tribal chief despite tradition favoring males. Her spiritual bond with whales leads to a transformative journey.
The Secret Life of Walter Mitty,The Secret Life of Walter Mitty is a comedy/adventure film about a timid magazine employee with a rich imagination. His real-life journey begins when he embarks on a globe-trotting quest to find a lost photo negative.
The Book Thief,"The Book Thief is a war/drama film set in Nazi Germany, where a young girl named Liesel finds solace by stealing books. Her secret reading sessions and friendship with a hidden Jewish man highlight courage amid turmoil."
Unbroken,"Unbroken is a war/biographical film about Louis Zamperini, an Olympic runner turned World War II bombardier. After crashing at sea and surviving a POW camp, his resilience becomes a testament to human endurance."
American History X,"American History X is a crime/drama film exploring the world of neo-Nazis in Los Angeles. A former skinhead, newly released from prison, struggles to protect his younger brother from following the same path."
Zodiac,"Zodiac is a crime/thriller film chronicling the hunt for the Zodiac Killer in 1970s San Francisco. As journalists and detectives pursue cryptic clues, the elusive murderer sows fear and obsession."
Catch Me If You Can,"Catch Me If You Can is a crime/drama film about a teenage con artist who impersonates pilots, doctors, and lawyers while forging checks. An FBI agent methodically pursues him, leading to a cat-and-mouse chase across countries."
Public Enemies,"Public Enemies is a crime/biographical film following notorious bank robber John Dillinger during the 1930s. An unyielding FBI agent aims to capture him, spotlighting America’s fascination with outlaws."
Road to Perdition,"Road to Perdition is a crime/drama film set during the Great Depression, where a mob enforcer’s son witnesses a murder. Their escape across the Midwest tests loyalty, fatherhood, and redemption."
Equilibrium,"Equilibrium is a sci-fi/action film depicting a future society where emotions are suppressed by a strict regime. A law enforcer, who stops taking emotion-blocking drugs, leads a rebellion against totalitarian rule."
Stardust,"Stardust is a fantasy/romance film about a young man who crosses a magical wall to retrieve a fallen star as a gift. He discovers the star is actually a woman, igniting adventures with witches and sky pirates."
Eragon,Eragon is a fantasy/adventure film where a farm boy discovers a dragon egg and becomes linked to its destiny. Their bond challenges a tyrant king and revives the hope of dragon riders.
Percy Jackson & the Olympians: The Lightning Thief,"Percy Jackson & the Olympians: The Lightning Thief is a fantasy/adventure film about a modern teenager who learns he’s the demigod son of Poseidon. Accused of stealing Zeus’s lightning bolt, he journeys to prove his innocence."
Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters is a fantasy/adventure film where Percy and friends sail into the Bermuda Triangle to retrieve the Golden Fleece. Their quest ensures the survival of their half-blood camp.
Escape Room,Escape Room is a thriller/horror film in which strangers are lured into a deadly series of escape rooms. They must solve twisted puzzles before time runs out—and their lives end.
A Dog's Purpose,"A Dog's Purpose is a family/drama film told from the perspective of a dog reincarnated multiple times. Through various owners, the loyal pup searches for meaning in each life."
I Am Legend,I Am Legend is a sci-fi/horror film about a lone survivor in a post-apocalyptic New York overrun by infected mutants. He struggles to find a cure while battling isolation and relentless night creatures.
"I, Robot","I, Robot is a sci-fi/action film set in 2035, where humanoid robots serve humanity. When a scientist dies under suspicious circumstances, a detective distrustful of robots uncovers a larger threat."
Concussion,Concussion is a biographical/drama film about Dr. Bennet Omalu’s discovery of chronic traumatic encephalopathy (CTE) in NFL players. His fight to reveal the truth collides with a powerful sports institution.
The Great Gatsby,"The Great Gatsby is a romance/drama film set in the Roaring Twenties, centering on the mysterious millionaire Jay Gatsby. His obsession with a former love leads to extravagant parties and tragic illusions."
Revolutionary Road,Revolutionary Road is a drama film about a suburban couple in the 1950s struggling with dissatisfaction and crushed aspirations. Their longing for a more meaningful life strains their marriage.
Legends of the Fall,"Legends of the Fall is a historical/drama film spanning early 20th-century Montana, where three brothers grow up under a rugged patriarch. Their bonds are tested by war, love, and tragedy."
Dracula Untold,"Dracula Untold is a fantasy/action film reimagining Vlad the Impaler’s transformation into the iconic vampire. Seeking to protect his family and kingdom, he makes a dark pact that grants him supernatural powers."
Warm Bodies,Warm Bodies is a romance/horror film about a zombie who develops human feelings after eating a victim’s memories. His growing affection for a living girl sparks an unlikely connection that might save both worlds.
The Equalizer,"The Equalizer is an action/thriller film where a retired intelligence officer with a mysterious past helps people in danger. When he faces the Russian mob, his lethal skills resurface to protect the innocent."
The Accountant,The Accountant is a crime/thriller film about a math savant who uncovers financial deceptions for dangerous clients. His investigation leads to violent confrontations and revelations about his own secret past.
Gone Baby Gone,"Gone Baby Gone is a crime/drama film set in a rough Boston neighborhood, following two private detectives searching for a missing girl. Morality and loyalty are tested as they uncover unsettling truths."
Frozen II,Frozen II is an animation/musical film where Elsa hears a mysterious call that compels her to explore an enchanted forest. She and Anna discover secrets of their family's past and the source of Elsa’s powers.
Home Alone,Home Alone is a comedy/family film where eight-year-old Kevin is accidentally left behind during Christmas vacation. He defends his home from two hapless burglars with creative booby traps.
Home Alone 2: Lost in New York,"Home Alone 2: Lost in New York is a comedy/family film in which Kevin accidentally boards a plane to Manhattan. Armed with his father’s credit cards, he foils his old foes’ holiday heist."
Miss Congeniality,Miss Congeniality is a comedy/action film about an FBI agent going undercover in a beauty pageant. Her transformation from tomboy to poised contestant provides laughs and unexpected self-discoveries.
Ocean's Eleven,Ocean's Eleven is a crime/comedy film where Danny Ocean gathers an eclectic crew to rob three Las Vegas casinos simultaneously. Their intricate heist tests each member’s cunning and skill.
Ocean's Twelve,"Ocean's Twelve is a crime/comedy film following Danny Ocean’s team, forced to pull off multiple heists to repay a vengeful casino owner. International targets and rival thieves complicate the scheme."
Ocean's Thirteen,Ocean's Thirteen is a crime/comedy film in which the crew returns to Las Vegas to sabotage a ruthless casino mogul. High-tech stunts and elaborate ruses expose vulnerabilities in the flashy empire.
Collateral,Collateral is a crime/thriller film about a taxi driver who unknowingly chauffeurs a contract killer completing a series of hits. Their tense night ride becomes a deadly cat-and-mouse through Los Angeles.
Jerry Maguire,"Jerry Maguire is a romantic comedy/drama film about a sports agent who has a crisis of conscience and starts his own agency. Alongside one loyal colleague, he strives to build a new, more ethical business."
The Terminal,"The Terminal is a comedy/drama film about an Eastern European traveler stranded at JFK airport after his country’s government collapses. Unable to enter the U.S. or go home, he adapts to airport life."
The Da Vinci Code,The Da Vinci Code is a mystery/thriller film in which a symbologist and cryptologist investigate a murder tied to secret religious societies. Their search for hidden clues challenges the foundations of faith and history.
Angels & Demons,Angels & Demons is a mystery/thriller film featuring the same symbologist battling a resurrected secret brotherhood threatening Vatican City. A ticking time bomb and cryptic symbols propel a frantic race against death.
Inferno,"Inferno is a mystery/thriller film where the symbologist awakens with memory loss and discovers a deadly plague plot. Following clues from Dante’s “Inferno,” he scrambles to prevent a global catastrophe."
Contact,"Contact is a sci-fi/drama film where a SETI scientist detects an extraterrestrial signal providing plans to build a mysterious machine. Humanity wrestles with faith, science, and the potential first contact."
Chappie,"Chappie is a sci-fi/action film about a police droid reprogrammed with artificial intelligence, giving it consciousness. Childlike yet powerful, Chappie navigates moral lessons while criminals exploit his abilities."
Limitless,Limitless is a sci-fi/thriller film about a struggling writer who takes a mysterious pill boosting his brainpower. He rises to financial stardom but faces lethal consequences from addiction and powerful enemies.
21,"21 is a crime/drama film about MIT students trained to count cards in blackjack under a charismatic professor. Their high-stakes casino escapades lead to tension, greed, and confrontation with security forces."
V for Vendetta,"V for Vendetta is a dystopian/action film set in a totalitarian Britain, where a masked vigilante inspires rebellion through revolutionary acts. A young woman becomes his ally, questioning authority and fear."
Watchmen,"Watchmen is a superhero/crime film set in an alternate 1985, where former masked vigilantes grapple with murder, conspiracies, and moral ambiguities. Their fractured relationships and the threat of nuclear war loom large."
Interview with the Vampire,Interview with the Vampire is a horror/drama film recounting the immortal lives of two vampires across centuries. Their existential conflicts and bloodlust reveal the cursed nature of their condition.
Contagion,Contagion is a thriller/drama film depicting a deadly virus outbreak that spreads globally within days. Scientists race for a vaccine as society unravels amid fear and misinformation.
Split,"Split is a psychological/horror film in which three girls are kidnapped by a man with 23 personalities. One final, monstrous identity emerges, threatening a terrifying transformation."
Glass,Glass is a superhero/thriller film bringing together characters from “Unbreakable” and “Split.” They’re confined to a psychiatric ward where a doctor aims to disprove their extraordinary abilities.
The Illusionist,The Illusionist is a mystery/romance film about a talented magician in early 1900s Vienna who astonishes audiences. His forbidden love for a noblewoman and a suspicious crown prince lead to illusions both on and off stage.
Batman Begins,Batman Begins is a superhero/action film delving into Bruce Wayne’s early path to becoming Gotham’s masked vigilante. His intense training and determination clash with a secret league bent on purging the city through fear.
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice is a superhero/action film where two iconic heroes collide over differing philosophies. Their conflict escalates when a cunning mastermind seeks to manipulate them toward destruction.
Judas and the Black Messiah,"Judas and the Black Messiah is a historical/drama film focusing on Black Panther leader Fred Hampton and the FBI informant infiltrating his circle. Betrayal, activism, and racial tensions converge in 1960s America."
Nomadland,"Nomadland is a drama film following a woman who, after losing everything, lives out of a van and travels the American West. Along the way, she discovers a community of modern nomads and a new sense of freedom."
Minari,Minari is a family/drama film about a Korean American family pursuing a fresh start on a farm in 1980s Arkansas. Cultural clashes and generational bonds test their resilience and hopes for the future.
Promising Young Woman,Promising Young Woman is a thriller/dark comedy film where a traumatized woman feigns drunkenness to expose predatory men. Her calculated revenge plan intertwines with personal anguish and an unexpected chance at closure.
Tenet,Tenet is a sci-fi/action film involving agents who manipulate time inversion to prevent a global catastrophe. Reality folds in on itself as past and future collide in a high-stakes espionage battle.
Enola Holmes,"Enola Holmes is a mystery/adventure film centering on Sherlock Holmes’s younger sister, a clever teen searching for her missing mother. Defying societal norms, she unravels conspiracies and challenges her famous siblings."
